712	156
1308	182
2710	892
2587	2822
1222	1314
1377	719
2628	2688
1768	725
883	2239
2708	2682
710	2714
2596	925
9	2411
828	867
132	798
937	2817
1579	2430
1093	2645
2629	2769
574	2656
2003	2636
1848	2763
2658	2537
1504	1284
2201	2812
1614	295
188	2666
2814	2778
911	2537
653	2645
1451	2623
846	1749
2194	1298
108	1298
2725	415
2835	2657
2764	2747
2167	1908
2819	2758
1246	2784
2687	2699
739	1170
1575	2712
1222	267
1522	246
1215	550
1034	1481
712	2799
1654	2736
2090	2791
2697	1821
2818	2411
1573	2714
2664	989
2716	2804
2091	729
2820	257
1573	182
684	2701
2755	2792
1573	2618
458	2656
1588	2800
1520	1640
1859	2119
1027	2611
1991	533
162	112
991	2812
1436	2450
1246	2732
188	2799
2742	2816
2506	2801
111	2698
1609	1077
1222	916
162	2686
1456	2829
162	476
2167	1298
2628	2623
1340	533
2060	295
2628	1441
2118	1821
2727	867
2726	476
2003	2765
2640	2714
511	2353
1079	2611
631	2722
2818	2712
2596	1500
1872	2759
2725	1462
1163	2800
1818	2611
2131	2810
467	782
1352	1789
692	2648
1215	2776
846	916
2311	2646
653	867
1336	2672
2697	1565
426	1672
470	1004
716	2662
2779	863
458	1267
2338	562
2605	2714
2150	1011
1609	156
2633	662
2783	2639
2783	1214
1135	2274
2771	1827
2045	2794
690	1966
965	2733
712	2095
2045	2743
1221	1821
844	2701
2738	2701
2512	2750
2629	2611
123	2119
1436	1004
1128	683
1093	2824
2754	2620
2088	2590
2003	2196
2045	654
1489	321
2814	958
883	2703
2833	2824
1184	2353
64	1153
1061	2406
123	2403
2724	2731
1387	2668
957	662
377	2795
2710	2802
684	1302
1290	1270
1108	147
108	528
2708	2667
1675	1554
2708	415
441	1749
2635	134
2641	311
2664	2750
2808	1284
123	2812
1632	2636
828	2770
638	1737
631	2799
2605	2802
1224	654
2311	2759
1003	1102
1126	694
21	750
2605	19
1061	1011
1430	654
600	662
2088	2663
2550	2749
2628	357
2616	809
2171	2101
2755	1640
1128	2770
1215	2503
2664	2069
638	2069
2764	596
1308	2695
2606	2486
1675	147
2060	1554
